Tweet,Sentiment
@me_dc With you on that wouldn't want Moses at knights even if he was just selling ice cream on the hill,neutral
@NiellahArboine Colonialism should be discussed in GCSE history. When I was at school in the 90s it wasn't mentione https://t.co/T62Aw7puPY,neutral
"He now works as one of the Cursed Knights known as ""Raven"" #KBOT",neutral
@MikeGoodings A Knights Tale,neutral
Enter to win Knights of Glory #boardgame by @BlueGearGames - via @unfilteredrng  #giveaway https://t.co/DzT6hmsCWa https://t.co/gb6CRv5YOa,neutral
i miss tenkai knights,neutral
"'Amorous Pink Knight': Unseen Monty Python sketches revealed

Was he one of the Knights of Ni? 
 https://t.co/PhfkGrVtom",neutral
Doesnt surprise me any of the knights except Mordred would ship with her in any form. https://t.co/N6e2IW9ZPK,neutral
@1aprildaniels just finished another read of Sovereign... And goddamn I love Danny and Sarah.. has anyone wrote flu https://t.co/oYmZ1rEe8y,positive
"August 1, 2018 Double Header
7:00 PM 1st game:
Bulacan Kuyas (3-1) VS Davao Occidental Tigers (2-2)
9:00 PM 2nd gam https://t.co/i3RRggtS9F",neutral
Btw thats the @CrusadersSd not the London Knights. The Crusaders werent creative enough to make their own.,negative
Its not every day you get an former Rugby League International and Knights legend to come and play for your corpora https://t.co/fXItR5Rwhh,neutral
"PLAYER SPOTLIGHT 
CJ Isit
Datu Cup - San Juan Knights
9.75 Points Per Game
64% FG Percentage
40% 3P FG Percentage
2 https://t.co/jSU7cp67px",neutral
"@FredTJoseph When I grew up we dressed up as cowboys, Indians, Vikings, knights in armour, etc...they were proud sy https://t.co/z37qaTXhi9",neutral
"@CamJohnston @mygoditsraining I can't help imagining the other knights watching him approach. ""Oh look, here come Count Tries-too-hard.""",negative
"@knights_glenn @YouTube I understand the points, but this hurts. Harley is a classic ",negative
#MPBL: #Knights try to stretch win streak to 5 https://t.co/sAbalxWKcP #newsupdate #bulacan,neutral
"@knights_glenn thank you for the like. Goodluck on your mission. Although, you could spread one more than another * https://t.co/Sji8q2ZTRK",positive
WARRIOR KNIGHTS Board Game | Fantasy Flight (2006) https://t.co/FlaLTEsLiZ https://t.co/WeXdF02LNX,neutral
Rhodes old town part 1. Built mostly by Knights Templar then later by Ottomans this amazing city is still operation https://t.co/vj4CBGywxU,positive
"@JawaShush @DragonessSeylia Soldiers of the Ebon Blade, Death Knights of Acherus, minions of the darkness: hear the https://t.co/H84cvdqSeP",neutral
"@lisaquestions @wincenworks @m_m_myers I remember Neverwinter KNights' Gold manual being at least 150 pages, mainly https://t.co/qVJqoSFByr",neutral
Officers of a Council of Knight Masons: https://t.co/fB8vRGMvTg #Freemasonry #Freemasons #Masonic #YorkRite https://t.co/mK1Kfhugx8,neutral
you know how knights like get on horses and come at each other with those large swords? jousting?? sahara and kaiji https://t.co/w9pkzcmPLw,neutral
" VACANCIES 

We currently have 2 exciting opens vacancies for the forthcoming season;

 AIFC Knights Manager
 https://t.co/jgNrlbhXfT",positive
live bollywood naked sex autoblow sextoy amateur mpeg hot girl knights naked pussy sucked fhm  https://t.co/va1ihBR3wa,neutral
@KobesMindYT @KEEMSTAR is just Oprah in a gnome suit and five knights at Freddies is 100% real and based off medieval times,neutral
Egyptian indie action RPG Knights of Light takes to Kickstarter https://t.co/ex9c9w6xmk,neutral
eBay: LEGO minifigures &amp; bricksters from Nexo Knights KNIGHTON CASTLE set 70357 https://t.co/ZpmmTfGhv3 https://t.co/VtSUWOokhW,neutral
"You have to wonder. Robbers or modern day knights templers? Based on current history , not sure whos hands the air https://t.co/3345MEQkRx",neutral
"@XterminateX @AmyBethDoyon I'm not the one harassing her with death threats and public dismemberment .. ""Real men"" https://t.co/RsOXJj4kfQ",neutral
Watch me unboxing and review Marvel Comics Spider Man 2099 - 1/10 scale by Kotobukuiya https://t.co/KB7JTy12s7 https://t.co/sZuArSzDzl,neutral
"Follow Randolph Henrich, a Warslinger of the Heptad. A group of holy knights who protect those from the malevolent https://t.co/VAZYjl0ATC",neutral
Blitz Chess #4548 vs Armindeymahi Three Knights White: https://t.co/e1GDd2ixgv via @YouTube,neutral
Blitz Chess #4550 vs Spanish Four Knights Black: https://t.co/fMh11R87mC via @YouTube,neutral
"Our sales team have recieved this lovely 'Thank you' card thanking them for being ""The best team a person could hav https://t.co/Z4FvESr0IK",positive
August's score rewards include Holy Priest Lorena and Dragon Knights emblems and card sleeves! There are a total of https://t.co/VazafW72qZ,neutral
"@NTonSurvivor @emrazz 0 to 35, not so bad eh? All derived from feminists and white knights like you..amen",negative
"The scientific literature on #meditation has a blind spot: Meditation, if not guided by an experienced teacher, can https://t.co/WVobKVOR39",neutral
@xcountmeoutx @emmagrace666 @daveyx24x Kings and Knights***,neutral
"@dhabarel @NotSoGentlebro bringing this back just to drop fire
https://t.co/S4eEadyOnL",neutral
Knights LOVE FOREVER,positive
"@TreNeal_ Tre thank you for helping bring UCF to the promise land . But love to see Nebraska suck, hope you lose every game. Go Knights.",positive
"No, no. It was about a tiny, adorable rabbit murdering robust knights one after another.",negative
Wests Tigers: Nothing works unless you do...   MORE  https://t.co/IN7VAPMfS2 https://t.co/G06amc1FdU,neutral
"@Nintendoubt815 Well, then just back away. I see she's liking your tweets, so maybe she likes white knights, but I https://t.co/HlFGBrdC03",negative
[R-18G] Dead knights' treatment # # # # https://t.co/d1GBIZSdsh https://t.co/aGxRWIhoDL,neutral
"All the action from the training field as we get ready to face the Knights!

 MORE  https://t.co/Ma3UFGt6E7 https://t.co/P6RpnGvTKS",neutral
"So, how was your Friday? With the_python_knights at #LFCC #lfcc2018 #londonfilmandcomiccon https://t.co/utUqrhyaTe",neutral
"@rainboom16 It's the middle ages. You know, knights, and kings, and what not?",negative
"Protecting the realm has never been easy, with the rise of LORD BUKAH it has become almost impossible. View the sag https://t.co/piYcY1hOq4",negative
"Im the same, Bryan Knights Reading us The Silver Sword everyday @DaleHallSch inspired my love of books &amp; reading. https://t.co/PkxpwDAiLB",positive
Dragons! Knights! Princesses! Can George fight the Dragon and save the kingdom? Find out as FREE George and the Dra https://t.co/6RGKTWpPRH,positive
Remember Waterparks Awsten Knights fake band Decembers Tragedy? Heres their first single https://t.co/RfCiPyWSiU,neutral
I added a video to a @YouTube playlist https://t.co/pizo6Wvfb4 Portal Knights | W / friends Stream,neutral
"@BoxerlessBossk bloodline is only 6 yrs before TFA so he's well deep into his new jedi order, maybe have the show a https://t.co/d4pAve1tN7",positive
$ummer Knights,positive
@HollowManSeries @andreas_wisst The knight was quiet. The wind wasn't the only tho g blowing. Pop went the lightbul https://t.co/CRYImnch0p,neutral
"RPG's with Knights and Magic or old ages = BTDT a million times over, jesuz , cant ANYONE think of something modern https://t.co/twS1sxueBM",negative
"This is the symbol for theOrder of Knights of the Hospital of Saint John of Jerusalem, a  medievalCatholicmilita https://t.co/959P6mDOn5",neutral
Looks like a hot sunny weekend for the hundreds of Medieval soldiers and knights on war horses. Come on watch as th https://t.co/mRRSYy17eJ,positive
